step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
131,PAYMENT,2956.6,C756209491,748.0,0.0,M1275227798,0.0,0.0
131,CASH_OUT,201200.66,C168377085,168.0,0.0,C1816401635,1738596.01,1939796.68
131,TRANSFER,1732081.99,C1269103182,9181.0,0.0,C1083026304,161148.32,1893230.31
131,PAYMENT,20510.45,C1882657830,540.0,0.0,M790540904,0.0,0.0
131,DEBIT,14495.47,C1820572580,15841.0,1345.53,C1348826844,42120.45,56615.92
131,PAYMENT,1818.13,C10046192,1345.53,0.0,M1221064929,0.0,0.0
131,PAYMENT,13413.43,C311467619,0.0,0.0,M1673484558,0.0,0.0
131,PAYMENT,8194.75,C700141891,0.0,0.0,M1582085221,0.0,0.0
131,PAYMENT,30166.84,C1220106825,0.0,0.0,M1364663673,0.0,0.0
131,PAYMENT,8879.87,C571830105,0.0,0.0,M432085218,0.0,0.0
131,PAYMENT,13340.91,C464020097,0.0,0.0,M1929185368,0.0,0.0
131,PAYMENT,1547.42,C2065424121,0.0,0.0,M1779228528,0.0,0.0
131,PAYMENT,17324.1,C854066394,0.0,0.0,M676164887,0.0,0.0
131,PAYMENT,7223.99,C218401521,0.0,0.0,M33502078,0.0,0.0
131,PAYMENT,5351.77,C1933785423,0.0,0.0,M820318205,0.0,0.0
131,PAYMENT,9725.89,C421480466,0.0,0.0,M1627647116,0.0,0.0
131,PAYMENT,5366.98,C190851234,0.0,0.0,M325207252,0.0,0.0
131,PAYMENT,5050.91,C1893646706,0.0,0.0,M247936105,0.0,0.0
131,PAYMENT,6749.49,C73938987,0.0,0.0,M86874262,0.0,0.0
131,PAYMENT,6018.73,C66984976,0.0,0.0,M875365498,0.0,0.0
131,PAYMENT,12949.57,C1908530100,0.0,0.0,M406914098,0.0,0.0
131,PAYMENT,20357.87,C1806472630,0.0,0.0,M931021421,0.0,0.0
131,CASH_OUT,259687.1,C1218261837,41773.0,0.0,C505672509,9983681.44,1.024336854E7
131,CASH_OUT,76042.4,C1483591416,682.0,0.0,C859450938,19495.85,95538.25
131,CASH_OUT,69176.5,C1466167654,103386.0,34209.5,C972650606,381608.28,420246.93
131,PAYMENT,2932.56,C306949325,34209.5,31276.94,M871228050,0.0,0.0
131,PAYMENT,17754.48,C88207385,12728.0,0.0,M1298254102,0.0,0.0
131,CASH_OUT,174165.47,C42150323,0.0,0.0,C1146896434,1.061270445E7,1.067921289E7
131,PAYMENT,12398.9,C1579594243,40426.0,28027.1,M1416450278,0.0,0.0
131,PAYMENT,923.47,C386337284,28027.1,27103.62,M206731238,0.0,0.0
131,PAYMENT,17600.55,C1729067717,20624.0,3023.45,M1507589282,0.0,0.0
131,CASH_OUT,11266.44,C1990429367,193040.0,181773.56,C1759173927,0.0,11266.44
131,CASH_OUT,551906.1,C1766928066,11046.0,0.0,C1328992492,987150.17,1581620.4
131,CASH_IN,106578.66,C1972676735,28458.0,135036.66,C1355663661,385561.18,278982.52
131,CASH_OUT,165346.59,C1932293251,24433.0,0.0,C305020785,0.0,165346.59
131,PAYMENT,11161.14,C431009379,0.0,0.0,M2037884073,0.0,0.0
131,CASH_OUT,580798.06,C695217320,59482.0,0.0,C786586159,484993.32,1065791.38
131,PAYMENT,32088.68,C963173737,0.0,0.0,M632795025,0.0,0.0
131,CASH_OUT,303622.36,C1629558114,3433.0,0.0,C1304535661,0.0,502672.73
131,TRANSFER,459712.42,C1226600578,58686.0,0.0,C1188781217,0.0,459712.42
131,PAYMENT,6411.4,C920682333,0.0,0.0,M783516983,0.0,0.0
131,PAYMENT,18109.2,C1204817798,0.0,0.0,M1835200414,0.0,0.0
131,CASH_IN,150559.99,C1489862648,16383.0,166942.99,C688440703,0.0,0.0
131,CASH_OUT,7968.65,C1793446891,50701.0,42732.35,C1817132097,92266.42,100235.08
131,PAYMENT,2972.64,C755916046,42698.0,39725.36,M1474971950,0.0,0.0
131,PAYMENT,6649.6,C1693175444,39725.36,33075.77,M542454633,0.0,0.0
131,CASH_OUT,167582.33,C2137844800,10343.0,0.0,C478480868,2184375.95,2351958.27
131,CASH_IN,211117.48,C2060089786,9996.0,221113.48,C1446837959,0.0,0.0
131,PAYMENT,8677.81,C1081050905,11561.0,2883.19,M1235761670,0.0,0.0
131,PAYMENT,7390.16,C1371459999,2883.19,0.0,M2022733243,0.0,0.0
131,PAYMENT,37416.57,C1157325567,0.0,0.0,M1284184172,0.0,0.0
131,PAYMENT,38465.9,C1797130827,0.0,0.0,M282625854,0.0,0.0
131,PAYMENT,10066.28,C262927168,0.0,0.0,M469226145,0.0,0.0
131,PAYMENT,22116.86,C10543046,0.0,0.0,M1419073947,0.0,0.0
131,PAYMENT,17973.8,C74748346,0.0,0.0,M557005135,0.0,0.0
131,PAYMENT,3548.62,C669752384,0.0,0.0,M1498169511,0.0,0.0
131,PAYMENT,33444.28,C2039866229,0.0,0.0,M1096041545,0.0,0.0
131,PAYMENT,6013.3,C975620543,0.0,0.0,M30732068,0.0,0.0
131,PAYMENT,17060.06,C1460415008,0.0,0.0,M874076804,0.0,0.0
131,PAYMENT,10580.95,C956171913,0.0,0.0,M519402365,0.0,0.0
131,PAYMENT,5664.4,C681445289,0.0,0.0,M1454224708,0.0,0.0
131,PAYMENT,513.03,C506407766,0.0,0.0,M737463669,0.0,0.0
131,PAYMENT,14857.52,C1938760941,0.0,0.0,M1211344973,0.0,0.0
131,PAYMENT,9847.43,C799100806,0.0,0.0,M582197346,0.0,0.0
131,PAYMENT,10832.01,C680607893,0.0,0.0,M2100683786,0.0,0.0
131,PAYMENT,4359.24,C1481460053,0.0,0.0,M1732399758,0.0,0.0
131,PAYMENT,29008.01,C1173693211,0.0,0.0,M389188123,0.0,0.0
131,CASH_IN,303689.09,C629636681,11053.0,314742.09,C917661354,1150823.7,847134.6
131,PAYMENT,14366.27,C1344573013,314742.09,300375.83,M1009095345,0.0,0.0
131,CASH_IN,22802.87,C1061467516,62453.0,85255.87,C1190524380,927155.19,904352.32
131,CASH_OUT,237887.89,C556786155,51989.0,0.0,C355356092,5334153.9,5572041.79
131,PAYMENT,137.32,C1426949565,293258.0,293120.68,M1160590775,0.0,0.0
131,PAYMENT,26034.22,C1599637307,293120.68,267086.46,M27657602,0.0,0.0
131,PAYMENT,4516.34,C943671398,267086.46,262570.12,M345199195,0.0,0.0
131,CASH_OUT,340200.26,C266960557,64889.0,0.0,C122643633,0.0,340200.26
131,CASH_OUT,342876.72,C1045622983,0.0,0.0,C1276881061,1.17183016E7,1.201773371E7
131,CASH_IN,120946.23,C2087510803,381.0,121327.23,C834358639,0.0,0.0
131,PAYMENT,13211.93,C1919121231,13862.0,650.07,M918250424,0.0,0.0
131,TRANSFER,452904.79,C524712288,727.0,0.0,C1392203251,902300.1,1355204.89
131,PAYMENT,864.07,C78214624,0.0,0.0,M1838789429,0.0,0.0
131,CASH_OUT,73728.59,C13810589,20659.0,0.0,C1982686686,5534278.74,5608007.33
131,PAYMENT,1079.52,C745758622,145368.0,144288.48,M1673148805,0.0,0.0
131,CASH_OUT,196171.47,C1125789404,144288.48,0.0,C723813024,3775708.04,3971879.51
131,PAYMENT,6400.76,C1442933617,84134.0,77733.24,M1622692224,0.0,0.0
131,CASH_OUT,256532.4,C1383868931,133378.0,0.0,C881312218,2825038.81,3081571.21
131,CASH_OUT,427046.33,C1073906270,47.0,0.0,C547328121,0.0,427046.33
131,TRANSFER,351456.87,C495268812,0.0,0.0,C736182191,6131112.02,6482568.88
131,CASH_IN,215659.22,C1066616237,126815.0,342474.22,C1517337585,15439.0,49790.42
131,CASH_OUT,191995.25,C202132590,102945.0,0.0,C1585827223,956809.7,1148804.94
131,PAYMENT,35028.48,C1481125827,27886.0,0.0,M1827105877,0.0,0.0
131,CASH_OUT,105365.64,C1232921161,11873.0,0.0,C246292224,0.0,105365.64
131,CASH_IN,173159.36,C662546484,10264.0,183423.36,C1657879570,234618.44,121349.35
131,CASH_OUT,426183.47,C1045609775,183423.36,0.0,C615584715,1371847.46,1798030.93
131,PAYMENT,10303.03,C1761667956,349271.0,338967.97,M1195385527,0.0,0.0
131,CASH_OUT,92447.86,C221650531,1276.0,0.0,C788069229,1740439.41,1832887.27
131,CASH_IN,214894.7,C648438063,0.0,214894.7,C1134244807,589626.02,374731.32
131,CASH_IN,22123.78,C1217623492,214894.7,237018.48,C282169144,258259.19,236135.41
131,CASH_IN,103529.81,C243315707,237018.48,340548.28,C214977994,1826509.54,1722979.73
131,CASH_IN,362135.99,C871919950,340548.28,702684.28,C369669301,5510092.15,5147956.16
131,CASH_IN,142879.83,C641913095,702684.28,845564.1,C1586889188,519759.39,376879.57
131,CASH_IN,17556.98,C1974250846,845564.1,863121.09,C1693182471,234428.55,216871.57
131,CASH_IN,210684.08,C2126043003,863121.09,1073805.16,C1771352345,390466.49,69510.92
131,CASH_IN,172276.9,C247114723,1073805.16,1246082.06,C1861958149,711413.71,539136.81
131,CASH_IN,74477.15,C1052805594,1246082.06,1320559.21,C1746651906,153039.22,78562.08
131,CASH_IN,183677.41,C773195009,1320559.21,1504236.62,C397186031,3532724.53,3492765.02
131,CASH_IN,108041.26,C380443831,1504236.62,1612277.88,C2064986991,241419.55,133378.29
131,CASH_IN,68582.9,C1301497906,1612277.88,1680860.78,C697452681,5169403.62,5100820.71
131,CASH_IN,186830.86,C2007467523,1680860.78,1867691.64,C1504196919,398674.59,211843.73
131,CASH_IN,68651.35,C1770503163,94.0,68745.35,C425975170,0.0,0.0
131,CASH_OUT,45237.22,C397499096,524.0,0.0,C437700825,0.0,45237.22
131,PAYMENT,25312.89,C1077170884,0.0,0.0,M199775071,0.0,0.0
131,CASH_IN,237815.0,C1608804794,11697.0,249512.0,C128312841,756319.95,789858.53
131,CASH_OUT,151825.29,C1109303044,249512.0,97686.71,C1644127636,1620436.38,1772261.66
131,PAYMENT,12215.33,C543053809,57.0,0.0,M1768262158,0.0,0.0
131,CASH_IN,386932.76,C363894561,101617.0,488549.76,C1805360986,106812.12,0.0
131,CASH_OUT,415678.04,C593546284,20551.0,0.0,C798696622,3528643.93,3944321.97
131,PAYMENT,21757.67,C1901327982,7380.0,0.0,M874719152,0.0,0.0
131,CASH_OUT,270327.88,C633055114,11939.0,0.0,C1653832551,160232.51,430560.39
131,CASH_IN,117755.62,C10423997,504298.0,622053.62,C2108486286,128425.97,10670.35
131,CASH_OUT,9445.27,C1846634566,10752.0,1306.73,C1974905636,1838162.16,1847607.43
131,PAYMENT,22688.21,C1134746771,10187.0,0.0,M1004385434,0.0,0.0
131,CASH_OUT,24786.27,C1137688506,39314.0,14527.73,C370241456,18442.64,43228.91
131,CASH_OUT,76503.71,C645508317,40184.0,0.0,C102022710,0.0,76503.71
131,PAYMENT,8023.05,C1944758981,0.0,0.0,M625322310,0.0,0.0
131,PAYMENT,12353.57,C466219067,0.0,0.0,M1883093211,0.0,0.0
131,PAYMENT,16776.7,C1445431451,0.0,0.0,M1579156608,0.0,0.0
131,PAYMENT,6650.74,C180125527,0.0,0.0,M400221627,0.0,0.0
131,PAYMENT,10348.76,C2102641803,0.0,0.0,M596233125,0.0,0.0
131,PAYMENT,13093.38,C1244028484,0.0,0.0,M177315206,0.0,0.0
131,PAYMENT,36425.22,C1761966019,0.0,0.0,M71064997,0.0,0.0
131,PAYMENT,9615.67,C2089875224,0.0,0.0,M2053843105,0.0,0.0
131,PAYMENT,2039.59,C940761920,0.0,0.0,M1579499666,0.0,0.0
131,PAYMENT,2653.84,C636896377,0.0,0.0,M108744262,0.0,0.0
131,PAYMENT,9755.22,C702330154,0.0,0.0,M1560887635,0.0,0.0
131,PAYMENT,4867.32,C1246429959,0.0,0.0,M371096950,0.0,0.0
131,PAYMENT,8411.02,C1520955258,0.0,0.0,M1295199908,0.0,0.0
131,PAYMENT,13523.74,C1601326910,0.0,0.0,M979532907,0.0,0.0
131,PAYMENT,23549.71,C1599834210,0.0,0.0,M197774115,0.0,0.0
131,PAYMENT,27971.31,C1175416539,0.0,0.0,M1864876885,0.0,0.0
131,PAYMENT,31204.77,C1824284235,0.0,0.0,M703139884,0.0,0.0
131,PAYMENT,12828.75,C346933884,0.0,0.0,M1161924311,0.0,0.0
131,PAYMENT,10849.85,C1266798130,0.0,0.0,M705220382,0.0,0.0
