step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
310,CASH_IN,144502.95,C579771883,2551.0,147053.95,C2092827689,0.0,0.0
310,PAYMENT,19657.2,C1762212276,6795.0,0.0,M1471146429,0.0,0.0
310,TRANSFER,48448.69,C900992835,11373.0,0.0,C166026380,0.0,48448.69
310,PAYMENT,2304.17,C1669578203,29520.0,27215.83,M1130888326,0.0,0.0
310,PAYMENT,4773.88,C1798113110,27215.83,22441.94,M2130105191,0.0,0.0
310,PAYMENT,9120.6,C6673415,22441.94,13321.34,M2082114369,0.0,0.0
310,PAYMENT,28925.45,C2131633187,95.0,0.0,M933997902,0.0,0.0
310,PAYMENT,31113.59,C432050768,59627.0,28513.41,M824726186,0.0,0.0
310,PAYMENT,17806.89,C1057576848,212056.0,194249.11,M1428315362,0.0,0.0
310,PAYMENT,505.71,C1215108612,10269.0,9763.29,M992190625,0.0,0.0
310,DEBIT,974.54,C1315165570,322.0,0.0,C1814303935,273220.73,274195.27
310,PAYMENT,4909.1,C165762528,17785.0,12875.9,M689749998,0.0,0.0
310,PAYMENT,8265.81,C261895364,1710.0,0.0,M1594044272,0.0,0.0
310,CASH_OUT,34463.71,C1548627749,15314.0,0.0,C965764271,0.0,34463.71
310,CASH_OUT,204633.07,C274798733,0.0,0.0,C1288201135,1870721.45,2075354.52
310,CASH_OUT,70161.94,C2117416017,2311.0,0.0,C723176844,0.0,70161.94
310,PAYMENT,15564.06,C948694088,115.0,0.0,M353487739,0.0,0.0
310,PAYMENT,34126.89,C229383204,11038.0,0.0,M1525429884,0.0,0.0
310,CASH_IN,138705.58,C1038248133,111595.0,250300.58,C709381961,2586031.76,2447326.18
310,CASH_OUT,97160.53,C640890385,30423.0,0.0,C1119627507,0.0,97160.53
310,PAYMENT,8883.62,C1259557839,10577.0,1693.38,M1895285511,0.0,0.0
310,PAYMENT,21110.17,C1585260956,128827.0,107716.83,M1640046588,0.0,0.0
310,PAYMENT,5235.01,C807253280,102028.0,96792.99,M2117904351,0.0,0.0
310,CASH_IN,49616.86,C1236942925,272.0,49888.86,C1266500498,0.0,0.0
310,PAYMENT,25840.74,C552437881,122216.0,96375.26,M2105839089,0.0,0.0
310,PAYMENT,18387.65,C1721618369,49950.0,31562.35,M2109621111,0.0,0.0
310,PAYMENT,3782.5,C828154617,31562.35,27779.85,M1752058406,0.0,0.0
310,PAYMENT,3351.18,C1619358509,27779.85,24428.67,M1873752497,0.0,0.0
310,PAYMENT,7620.1,C993009111,24428.67,16808.57,M563433453,0.0,0.0
310,PAYMENT,8780.74,C1782729961,16808.57,8027.83,M2088159913,0.0,0.0
310,PAYMENT,11550.22,C1200860757,8027.83,0.0,M1290959725,0.0,0.0
310,PAYMENT,13765.61,C875516702,0.0,0.0,M2118575280,0.0,0.0
310,PAYMENT,25241.93,C620567595,0.0,0.0,M2064331466,0.0,0.0
310,CASH_OUT,35531.82,C896674070,9090.0,0.0,C990465705,266762.12,302293.94
310,CASH_IN,20790.54,C2094545004,182.0,20972.54,C1343064644,213560.41,192769.87
310,PAYMENT,4581.43,C814247832,20972.54,16391.11,M305632801,0.0,0.0
310,PAYMENT,1688.04,C908670952,549780.0,548091.96,M193950233,0.0,0.0
310,TRANSFER,609504.73,C2013804639,548091.96,0.0,C1305282224,1559637.0,2169141.74
310,CASH_IN,122580.69,C1444954081,0.0,122580.69,C884866317,2353043.49,2230462.8
310,CASH_OUT,190895.77,C701093050,122580.69,0.0,C789298810,4137960.35,4328856.12
310,PAYMENT,6879.0,C1495692320,30708.0,23829.0,M1616209307,0.0,0.0
310,PAYMENT,5930.39,C937263431,23829.0,17898.61,M1356263170,0.0,0.0
310,PAYMENT,14343.49,C985339468,16771.0,2427.51,M1896465725,0.0,0.0
310,PAYMENT,4145.76,C705013218,91034.0,86888.24,M1296884063,0.0,0.0
