step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
526,PAYMENT,7021.88,C392789623,51076.0,44054.12,M1447130221,0.0,0.0
526,CASH_IN,76591.01,C1189576091,15496.0,92087.01,C2030395699,1290020.89,1213429.87
526,PAYMENT,8061.19,C1039346930,849.0,0.0,M1639282685,0.0,0.0
526,CASH_OUT,166550.99,C1007326650,0.0,0.0,C379762290,268481.92,435032.91
526,CASH_OUT,6311.53,C1098656773,191982.0,185670.47,C2129197098,607605.81,613917.34
526,CASH_OUT,162584.0,C1699486820,83242.0,0.0,C640007864,0.0,162584.0
526,PAYMENT,5856.24,C789349807,137884.0,132027.76,M1195598513,0.0,0.0
526,PAYMENT,5505.79,C1736401496,14418.0,8912.21,M1658187247,0.0,0.0
526,CASH_OUT,163106.63,C700394983,238.0,0.0,C438438512,0.0,163106.63
526,CASH_IN,150996.26,C1966441611,30884.0,181880.26,C1005144748,0.0,0.0
526,CASH_OUT,136022.48,C1766082007,49831.0,0.0,C1012308790,0.0,136022.48
526,TRANSFER,244355.0,C615737221,54934.0,0.0,C816734951,384407.28,628762.27
526,PAYMENT,7143.57,C1949542113,281021.0,273877.43,M771450160,0.0,0.0
526,PAYMENT,3661.29,C1725622181,31325.0,27663.71,M1508522932,0.0,0.0
526,PAYMENT,3860.76,C805804742,20082.0,16221.24,M1185135379,0.0,0.0
526,PAYMENT,22851.98,C2004192173,16221.24,0.0,M2135570796,0.0,0.0
526,PAYMENT,2023.82,C1930911209,9005.0,6981.18,M683084731,0.0,0.0
526,CASH_OUT,4798.45,C1942279651,85785.0,80986.55,C1014104840,997277.18,1002075.62
526,CASH_IN,929.63,C1575687086,944.0,1873.63,C525520060,0.0,0.0
526,CASH_OUT,25243.53,C349894127,1873.63,0.0,C701623443,484107.08,509350.61
526,CASH_OUT,164942.06,C69262876,0.0,0.0,C1077355623,831354.86,996296.91
526,TRANSFER,88355.02,C1369335990,25038.0,0.0,C643634132,117853.67,206208.69
526,PAYMENT,5804.47,C1424848712,9245.0,3440.53,M400262583,0.0,0.0
526,CASH_IN,97713.67,C361326958,31526.0,129239.67,C1119115261,1193142.35,1095428.68
526,PAYMENT,2056.47,C938506417,38732.0,36675.53,M144186928,0.0,0.0
526,PAYMENT,26408.94,C1134941353,36675.53,10266.59,M498669482,0.0,0.0
526,CASH_OUT,127039.76,C691589468,12598.0,0.0,C955884199,1242602.28,1369642.04
526,PAYMENT,44296.92,C1637430229,0.0,0.0,M208970707,0.0,0.0
526,PAYMENT,34442.08,C1504047536,0.0,0.0,M913865193,0.0,0.0
526,PAYMENT,9669.82,C517464936,30914.0,21244.18,M932487514,0.0,0.0
526,PAYMENT,14890.44,C1103818345,21244.18,6353.74,M881356936,0.0,0.0
526,PAYMENT,1188.06,C358947282,92373.0,91184.94,M132772949,0.0,0.0
526,PAYMENT,2484.31,C298249063,15457.0,12972.69,M1723712999,0.0,0.0
526,CASH_OUT,92278.61,C1529609067,15323.0,0.0,C1698522455,136214.66,228493.27
526,TRANSFER,324949.22,C321451783,0.0,0.0,C1288954911,488056.82,813006.04
526,TRANSFER,115901.0,C890481622,10293.0,0.0,C1566533902,1576983.48,1692884.48
526,PAYMENT,2223.01,C1032438382,121857.0,119633.99,M972920343,0.0,0.0
526,PAYMENT,4086.09,C1840897760,88571.0,84484.91,M1163691418,0.0,0.0
526,CASH_OUT,68731.78,C917878253,16834.0,0.0,C1218163443,0.0,68731.78
526,TRANSFER,129963.66,C1672331266,94228.0,0.0,C1581375005,0.0,129963.66
526,PAYMENT,5159.11,C1077955657,19820.0,14660.89,M1628529038,0.0,0.0
526,PAYMENT,3040.54,C2047912604,22310.0,19269.46,M1999689740,0.0,0.0
526,PAYMENT,11390.52,C894492839,104647.0,93256.48,M1604844178,0.0,0.0
526,PAYMENT,10635.87,C538771376,26070.0,15434.13,M1369285383,0.0,0.0
526,CASH_OUT,107182.34,C1677341771,30119.0,0.0,C714911850,7376633.66,7483816.0
526,TRANSFER,71614.13,C65614284,51943.0,0.0,C81078483,186160.14,257774.27
526,PAYMENT,2281.28,C1146077054,0.0,0.0,M2029435243,0.0,0.0
526,PAYMENT,17765.24,C1251775058,0.0,0.0,M3259804,0.0,0.0
526,PAYMENT,8246.55,C960251563,11114.0,2867.45,M1951173894,0.0,0.0
526,CASH_IN,205424.92,C1517068255,1543.0,206967.92,C418019154,0.0,0.0
526,CASH_OUT,233971.14,C1463551059,206967.92,0.0,C1024560894,1738752.46,1972723.6
526,DEBIT,7113.93,C208541953,21216.0,14102.07,C1281892,5085125.89,5092239.83
526,PAYMENT,2490.29,C484081975,83810.0,81319.71,M586573588,0.0,0.0
526,PAYMENT,3350.46,C358605189,258.0,0.0,M1770341438,0.0,0.0
526,PAYMENT,19913.73,C555660032,0.0,0.0,M809610992,0.0,0.0
526,CASH_OUT,32993.27,C1517826740,81110.0,48116.73,C2007950102,7077712.01,7110705.29
526,PAYMENT,20298.86,C421472625,48116.73,27817.87,M1305284577,0.0,0.0
526,CASH_OUT,20705.16,C1892028038,15711.0,0.0,C474521134,0.0,20705.16
526,PAYMENT,28296.59,C1806725048,0.0,0.0,M193238814,0.0,0.0
526,PAYMENT,2003.19,C781394824,11074.0,9070.81,M1860287202,0.0,0.0
526,CASH_OUT,98619.52,C113562921,25580.0,0.0,C97415447,278030.38,376649.9
526,CASH_OUT,42343.72,C701996680,13982.0,0.0,C1985579290,91772.07,134115.79
526,CASH_OUT,42077.91,C510617433,0.0,0.0,C2107260586,103567.85,145645.76
526,PAYMENT,9663.8,C2101012700,200.0,0.0,M1576470479,0.0,0.0
526,CASH_OUT,294558.13,C1220669735,0.0,0.0,C259876885,891537.31,1186095.45
526,PAYMENT,1745.59,C762381001,15893.0,14147.41,M120021939,0.0,0.0
526,CASH_IN,254397.88,C1644938727,14147.41,268545.3,C1032605057,1734904.41,1480506.52
526,CASH_IN,234101.2,C621037640,268545.3,502646.49,C1267440760,246202.26,12101.07
526,CASH_IN,88326.55,C4612459,502646.49,590973.04,C321755373,480339.75,392013.2
526,CASH_IN,37361.59,C1019256875,590973.04,628334.63,C1838939213,5849988.35,5812626.76
526,CASH_IN,245287.46,C14184105,628334.63,873622.08,C552540333,512161.92,266874.46
526,CASH_IN,101789.35,C127480050,873622.08,975411.43,C1266346561,3128838.11,3027048.76
526,CASH_IN,133593.61,C887575635,975411.43,1109005.04,C1109282753,1893508.9,1759915.28
526,CASH_IN,267142.47,C228555548,1109005.04,1376147.52,C283278462,4089363.83,3822221.36
526,CASH_IN,417396.45,C1316090144,1376147.52,1793543.97,C1791648411,501501.04,84104.59
526,CASH_IN,324316.08,C2180796,1793543.97,2117860.05,C1674856452,4780381.34,4456065.26
526,CASH_IN,154681.99,C250269479,2117860.05,2272542.04,C1224175365,1840653.13,1685971.14
526,CASH_IN,255640.73,C2019230333,2272542.04,2528182.77,C1756132760,7653221.74,7397581.01
526,CASH_IN,406021.12,C962725031,2528182.77,2934203.89,C1664285744,1584152.22,1178131.1
526,CASH_IN,85318.83,C863805841,2934203.89,3019522.71,C2052846239,1473314.02,1387995.2
526,CASH_IN,215772.27,C1798820654,3019522.71,3235294.99,C1357990756,2183001.12,1967228.84
526,CASH_IN,52732.48,C1272937695,3235294.99,3288027.47,C614808201,512641.56,338675.51
526,CASH_IN,135273.38,C1647386175,3288027.47,3423300.85,C1249376993,568896.46,433623.08
526,CASH_IN,273959.94,C873941953,3423300.85,3697260.79,C294959844,597253.01,323293.07
526,CASH_IN,205862.22,C1634484430,3697260.79,3903123.01,C783229747,8752041.35,8546179.13
526,CASH_IN,123801.07,C1365631416,3903123.01,4026924.08,C2013105776,328928.82,205127.75
526,CASH_IN,95984.2,C995089741,4026924.08,4122908.28,C733430873,757455.61,661471.41
526,CASH_IN,369052.82,C898158758,4122908.28,4491961.11,C165966873,625720.18,256667.36
526,CASH_IN,33578.87,C912366825,4491961.11,4525539.97,C257651285,273042.82,239463.95
526,CASH_IN,386805.24,C1224201148,4525539.97,4912345.21,C1297910774,1452230.23,1065424.99
526,CASH_IN,128424.87,C219667034,4912345.21,5040770.08,C1816734002,252769.88,124345.02
526,CASH_IN,179661.31,C2129209022,5040770.08,5220431.39,C833384012,2932852.34,2753191.03
526,CASH_IN,341909.28,C1146452830,5220431.39,5562340.67,C561621705,408266.24,66356.96
526,CASH_IN,340097.21,C843655771,5562340.67,5902437.88,C700530589,537081.67,196984.46
526,CASH_IN,221180.35,C29352770,5902437.88,6123618.23,C401440968,392674.97,171494.62
526,CASH_IN,144022.05,C911534365,6123618.23,6267640.27,C1283286528,383858.29,239836.25
526,CASH_IN,344687.29,C1496640258,6267640.27,6612327.56,C530351387,930878.94,586191.65
526,CASH_IN,289983.15,C575936909,6612327.56,6902310.71,C1425637004,326932.19,36949.04
526,CASH_IN,42319.11,C1544510326,6902310.71,6944629.82,C474983625,52053.39,9734.28
526,CASH_IN,57492.87,C1300385259,6944629.82,7002122.69,C702703980,4160494.8,4103001.94
526,CASH_IN,286276.01,C865125282,7002122.69,7288398.7,C119889049,429159.3,142883.29
