step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
592,CASH_OUT,137159.03,C224174969,20582.0,0.0,C1982740744,162079.89,299238.91
592,PAYMENT,5498.08,C749290744,221.0,0.0,M184891603,0.0,0.0
592,CASH_OUT,454707.07,C1292857447,50257.0,0.0,C287563099,0.0,454707.07
592,CASH_OUT,33678.72,C622876116,62722.0,29043.28,C2086699006,0.0,33678.72
592,CASH_OUT,106451.48,C1137203980,20355.0,0.0,C1657410033,20688.41,127139.89
592,CASH_IN,263713.73,C1638477830,282.0,263995.73,C1966093595,38829.46,0.0
592,PAYMENT,8753.15,C1460922396,263995.73,255242.57,M1891273183,0.0,0.0
592,CASH_OUT,25661.66,C1907080447,12002.0,0.0,C586858539,2791761.83,2817423.49
592,PAYMENT,3074.86,C1495960524,0.0,0.0,M288480253,0.0,0.0
592,PAYMENT,12151.1,C903961717,0.0,0.0,M419517042,0.0,0.0
592,CASH_OUT,208022.12,C343465589,10650.0,0.0,C1385602887,0.0,208022.12
592,CASH_IN,194885.41,C185143604,12131.0,207016.41,C2038838088,893151.96,698266.55
592,CASH_IN,52353.52,C875882196,78016.0,130369.52,C1125323713,106377.49,54023.97
592,CASH_IN,54119.06,C657830114,160496.0,214615.06,C659142066,0.0,0.0
592,CASH_OUT,268218.64,C1978423559,51.0,0.0,C427728353,460804.76,729023.41
592,CASH_IN,130437.43,C909080127,165.0,130602.43,C662707391,0.0,0.0
592,TRANSFER,86746.01,C633218152,11742.0,0.0,C881893855,983738.36,1070484.38
592,CASH_OUT,272645.81,C788935325,333.0,0.0,C509676917,0.0,272645.81
592,CASH_OUT,346906.15,C951415323,21316.0,0.0,C1811891431,629314.33,976220.47
592,PAYMENT,6351.77,C1978037692,0.0,0.0,M565150220,0.0,0.0
592,CASH_OUT,279827.64,C1059315326,15047.0,0.0,C871562083,83352.97,363180.61
592,CASH_OUT,103084.25,C739591723,1206.0,0.0,C2141120155,375810.67,478894.92
592,CASH_OUT,173047.72,C1779993984,10100.0,0.0,C48263159,40890.91,213938.63
592,CASH_OUT,144475.35,C930794797,777770.0,633294.65,C123495527,273981.91,418457.26
592,CASH_OUT,23804.46,C369833362,58589.0,34784.54,C66976742,270709.83,294514.29
592,CASH_OUT,76336.7,C271129958,51739.0,0.0,C831403747,0.0,76336.7
592,CASH_OUT,195771.22,C1047787118,35557.0,0.0,C1432804306,5413786.39,5609557.61
592,PAYMENT,17677.38,C1602311976,455.0,0.0,M283729647,0.0,0.0
592,TRANSFER,152953.55,C1223926713,0.0,0.0,C1752627688,188901.54,341855.09
592,TRANSFER,791646.32,C1762847823,0.0,0.0,C1760930463,829294.09,1620940.42
592,TRANSFER,205373.04,C1015008850,0.0,0.0,C1542647036,248274.86,453647.9
592,TRANSFER,89265.39,C1723592980,0.0,0.0,C1480298670,1715348.52,1804613.91
592,TRANSFER,17248.98,C864053265,0.0,0.0,C654232052,810776.2,828025.18
592,CASH_OUT,230676.41,C1292798650,22162.0,0.0,C856676459,859528.35,1090204.76
592,PAYMENT,11570.08,C264355863,1985.0,0.0,M919315370,0.0,0.0
592,CASH_IN,63923.92,C104564098,41485.0,105408.92,C1054343739,193968.78,130044.86
592,CASH_OUT,81722.54,C1071219877,9947.0,0.0,C1006020316,0.0,81722.54
592,PAYMENT,17630.31,C1041836593,22976.0,5345.69,M1436817579,0.0,0.0
592,DEBIT,1683.61,C258572296,92856.0,91172.39,C1606506097,175233.45,176917.06
592,CASH_OUT,46858.85,C2095501804,580.0,0.0,C780577810,1067746.65,1114605.49
592,TRANSFER,1344341.47,C198784227,10218.0,0.0,C803995341,0.0,1344341.47
592,CASH_OUT,387657.21,C2118980723,20586.0,0.0,C1431168243,0.0,387657.21
592,CASH_OUT,52146.26,C1030201970,45152.0,0.0,C1632667304,185289.01,237435.27
592,CASH_OUT,158767.22,C2000973187,831829.0,673061.78,C476620022,0.0,158767.22
592,PAYMENT,15881.77,C905453988,370.0,0.0,M595609060,0.0,0.0
592,PAYMENT,15751.2,C594810836,0.0,0.0,M2005421644,0.0,0.0
592,PAYMENT,10298.68,C59352088,0.0,0.0,M579301096,0.0,0.0
592,PAYMENT,7416.4,C567150555,0.0,0.0,M344053632,0.0,0.0
592,PAYMENT,9355.63,C1516636268,0.0,0.0,M1125109222,0.0,0.0
592,PAYMENT,4051.39,C313453187,0.0,0.0,M134808193,0.0,0.0
592,PAYMENT,42432.31,C1657167492,0.0,0.0,M1604046791,0.0,0.0
592,PAYMENT,600.42,C973392965,0.0,0.0,M2061098126,0.0,0.0
592,PAYMENT,38149.96,C716934959,0.0,0.0,M736069704,0.0,0.0
592,PAYMENT,11454.99,C933564306,0.0,0.0,M61642820,0.0,0.0
592,PAYMENT,824.34,C1964551657,0.0,0.0,M575862474,0.0,0.0
592,PAYMENT,1241.72,C1033151629,0.0,0.0,M1520264643,0.0,0.0
592,PAYMENT,4630.59,C1784343708,0.0,0.0,M1602986939,0.0,0.0
592,PAYMENT,13195.13,C1193530379,0.0,0.0,M1990267473,0.0,0.0
