step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
455,PAYMENT,5730.53,C10397713,901.0,0.0,M857345688,0.0,0.0
455,CASH_IN,144625.91,C1537265006,100069.0,244694.91,C79601167,156204.15,11578.25
455,PAYMENT,21893.31,C439841267,10901.0,0.0,M1872530564,0.0,0.0
455,PAYMENT,12654.63,C210837793,511.0,0.0,M1367823968,0.0,0.0
455,CASH_OUT,307015.92,C1889410378,0.0,0.0,C616038194,1367289.4,1674305.32
455,CASH_OUT,69294.71,C2079147889,0.0,0.0,C282757388,225453.85,294748.57
455,PAYMENT,22165.44,C2129717508,102055.0,79889.56,M355435756,0.0,0.0
455,PAYMENT,16878.63,C366718798,223355.0,206476.37,M77378635,0.0,0.0
455,PAYMENT,30578.56,C2111690005,124008.0,93429.44,M339490470,0.0,0.0
455,PAYMENT,2636.36,C1549097648,20168.0,17531.64,M1024099229,0.0,0.0
455,CASH_IN,76493.27,C787254356,51090.0,127583.27,C1915438078,717800.26,641306.99
455,PAYMENT,12728.53,C1527780905,24259.0,11530.47,M761681697,0.0,0.0
455,TRANSFER,1164599.36,C1142501243,11530.47,0.0,C1962352121,3536531.21,4701130.57
455,TRANSFER,891621.18,C241010048,0.0,0.0,C1618760281,1285548.77,2177169.95
455,TRANSFER,1587300.38,C1437035324,0.0,0.0,C1669042843,2.957439643E7,3.116169681E7
455,TRANSFER,863453.03,C1248326134,0.0,0.0,C1463528832,945981.82,1809434.85
455,TRANSFER,21686.63,C1200127286,0.0,0.0,C649902225,419614.16,441300.79
455,TRANSFER,125883.72,C630948290,0.0,0.0,C836922763,645601.79,771485.51
455,TRANSFER,4094125.86,C1267462342,0.0,0.0,C508718590,6803311.32,1.089743718E7
455,TRANSFER,612158.98,C1050034176,0.0,0.0,C343180510,2763071.73,3375230.71
455,TRANSFER,1156690.73,C989063977,0.0,0.0,C1328143981,1188180.34,2344871.07
455,TRANSFER,532823.84,C1134553124,0.0,0.0,C1225123709,2783502.41,3316326.24
455,TRANSFER,397057.53,C1460026705,0.0,0.0,C1453613081,447007.02,844064.55
455,TRANSFER,2180740.56,C1528619505,0.0,0.0,C1444254473,3101761.58,5282502.13
455,TRANSFER,630979.51,C2115236632,0.0,0.0,C2058875980,850187.51,1481167.03
455,TRANSFER,504543.32,C1123150390,0.0,0.0,C90650588,8801144.85,9305688.17
