step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
736,TRANSFER,53315.31,C914459666,53315.31,0.0,C73348302,0.0,0.0
736,CASH_OUT,53315.31,C810591075,53315.31,0.0,C1614619549,0.0,53315.31
736,TRANSFER,1.0E7,C412961249,1.131466084E7,1314660.84,C253674970,0.0,0.0
736,CASH_OUT,1.0E7,C1842402025,1.0E7,0.0,C1291939349,0.0,1.0E7
736,TRANSFER,1314660.84,C1460351581,1314660.84,0.0,C898200380,0.0,0.0
736,CASH_OUT,1314660.84,C1660278884,1314660.84,0.0,C464467238,0.0,1314660.84
736,TRANSFER,537539.57,C2018539678,537539.57,0.0,C282412954,0.0,0.0
736,CASH_OUT,537539.57,C1804356625,537539.57,0.0,C1581411164,8034.16,545573.72
736,TRANSFER,274799.58,C1459244245,274799.58,0.0,C957617194,0.0,0.0
736,CASH_OUT,274799.58,C1263652542,274799.58,0.0,C1406817938,0.0,274799.58
736,TRANSFER,172915.56,C809421762,172915.56,0.0,C922949520,0.0,0.0
736,CASH_OUT,172915.56,C962323728,172915.56,0.0,C1193568854,7674508.7,7847424.27
736,TRANSFER,3912252.81,C1027836426,3912252.81,0.0,C1420360945,0.0,0.0
736,CASH_OUT,3912252.81,C2015532834,3912252.81,0.0,C1094245797,0.0,3912252.81
