step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
149,TRANSFER,3567795.25,C961585962,3567795.25,0.0,C420013830,0.0,0.0
149,CASH_OUT,3567795.25,C2091267163,3567795.25,0.0,C1391718831,0.0,3567795.25
149,TRANSFER,661558.27,C644461702,661558.27,0.0,C1700734681,0.0,0.0
149,CASH_OUT,661558.27,C2133707942,661558.27,0.0,C129318396,3050611.21,3712169.48
149,TRANSFER,861406.83,C1138260378,861406.83,0.0,C944216727,0.0,0.0
149,CASH_OUT,861406.83,C244418902,861406.83,0.0,C1872196255,8283871.29,9145278.12
149,TRANSFER,155534.95,C1706545542,155534.95,0.0,C2068537951,0.0,0.0
149,CASH_OUT,155534.95,C1961781610,155534.95,0.0,C1530802023,88096.9,243631.85
149,TRANSFER,7188425.25,C1962597060,7188425.25,0.0,C103010660,0.0,0.0
149,CASH_OUT,7188425.25,C1982019124,7188425.25,0.0,C2025892351,781697.03,7970122.27
149,TRANSFER,17569.42,C767812247,17569.42,0.0,C263239858,0.0,0.0
149,CASH_OUT,17569.42,C711027580,17569.42,0.0,C1812011934,276439.92,294009.34
149,TRANSFER,2860852.43,C149923854,2860852.43,0.0,C32740114,0.0,0.0
149,CASH_OUT,2860852.43,C1729277361,2860852.43,0.0,C180584877,83784.78,2944637.21
149,TRANSFER,172510.95,C1433873566,172510.95,0.0,C45573890,0.0,0.0
149,CASH_OUT,172510.95,C1961658311,172510.95,0.0,C430727809,590592.52,763103.47
149,TRANSFER,14016.65,C20381324,14016.65,0.0,C948884752,0.0,0.0
149,CASH_OUT,14016.65,C1941677118,14016.65,0.0,C1983026804,1818633.89,1832650.55
149,TRANSFER,5477272.72,C1058610480,5477272.72,0.0,C532968715,0.0,0.0
149,CASH_OUT,5477272.72,C478532233,5477272.72,0.0,C1188145688,0.0,5477272.72
149,TRANSFER,29832.81,C32072750,29832.81,0.0,C398888765,0.0,0.0
149,CASH_OUT,29832.81,C185736530,29832.81,0.0,C1020879076,82642.62,112475.43
