step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
25,PAYMENT,19161.18,C1954261867,1589.0,0.0,M1085509720,0.0,0.0
25,PAYMENT,7725.76,C912521968,189169.0,181443.24,M1216280274,0.0,0.0
25,PAYMENT,7655.5,C1635204165,127302.0,119646.5,M1025130851,0.0,0.0
25,PAYMENT,15856.99,C336042058,119646.5,103789.51,M737162366,0.0,0.0
25,PAYMENT,1300.98,C1933422673,20559.0,19258.02,M474215948,0.0,0.0
25,PAYMENT,23480.55,C883881990,54921.0,31440.45,M509045033,0.0,0.0
25,PAYMENT,9452.43,C7798154,22280.0,12827.57,M59152414,0.0,0.0
25,PAYMENT,8228.32,C1084964512,4105.0,0.0,M1703938493,0.0,0.0
25,DEBIT,5520.59,C1388130856,2593.0,0.0,C154898562,910091.0,915611.59
25,PAYMENT,9625.2,C1707869705,112186.0,102560.8,M2089515566,0.0,0.0
25,CASH_IN,74730.87,C431184355,26153.0,100883.87,C1454203079,0.0,0.0
25,PAYMENT,9242.71,C581174415,11545.0,2302.29,M668840604,0.0,0.0
25,PAYMENT,2705.84,C2160195,49668.0,46962.16,M64998373,0.0,0.0
25,PAYMENT,14994.17,C22882157,46962.16,31967.99,M1264462984,0.0,0.0
25,PAYMENT,8200.66,C1288390990,22237.0,14036.34,M825635793,0.0,0.0
25,PAYMENT,7480.76,C1496845525,5420.0,0.0,M1664631062,0.0,0.0
25,PAYMENT,6920.83,C1966073094,122791.0,115870.17,M1971845321,0.0,0.0
25,PAYMENT,8039.66,C1824525320,115870.17,107830.51,M1305591927,0.0,0.0
25,PAYMENT,13065.92,C1205607198,107830.51,94764.59,M232252060,0.0,0.0
25,PAYMENT,11931.8,C1629163362,343.0,0.0,M571124046,0.0,0.0
25,PAYMENT,352.74,C94982906,55073.0,54720.26,M936940497,0.0,0.0
25,PAYMENT,3490.87,C235010647,238665.0,235174.13,M2041995776,0.0,0.0
25,TRANSFER,532402.99,C919060814,235174.13,0.0,C905309351,795061.33,1327464.32
25,TRANSFER,1437841.87,C1173523036,0.0,0.0,C1942085631,3421782.53,4859624.4
25,TRANSFER,1747518.45,C1142948855,0.0,0.0,C1690337259,2835734.95,4583253.41
25,TRANSFER,221491.15,C248307473,0.0,0.0,C459172227,9622939.8,9844430.95
25,TRANSFER,454767.25,C109687351,0.0,0.0,C1743277648,2101244.41,2556011.66
25,TRANSFER,1062002.52,C1467513040,0.0,0.0,C1496873428,5124869.49,6186872.02
25,TRANSFER,204663.26,C327415411,0.0,0.0,C567400629,1125850.24,1330513.5
25,TRANSFER,277363.82,C2069858117,0.0,0.0,C1253727041,946929.66,1224293.48
25,TRANSFER,556461.41,C806132243,0.0,0.0,C699096449,4510848.85,5067310.26
25,TRANSFER,585427.93,C606526010,0.0,0.0,C1899091560,2063537.8,2648965.74
25,TRANSFER,387141.7,C681218211,0.0,0.0,C1761260133,503576.07,890717.77
25,TRANSFER,532992.11,C796417882,0.0,0.0,C1174496884,4564685.91,5097678.02
25,TRANSFER,376641.67,C2079364260,0.0,0.0,C2056694044,546126.59,922768.26
25,TRANSFER,313866.58,C1771402986,0.0,0.0,C2105102970,1164916.04,1478782.61
25,TRANSFER,60278.88,C360115443,0.0,0.0,C90067311,688167.54,748446.42
25,TRANSFER,146332.89,C2023355272,0.0,0.0,C2002681225,447167.78,593500.66
25,TRANSFER,7468.67,C129174923,0.0,0.0,C681554030,19297.95,26766.62
25,TRANSFER,135055.72,C1163073969,0.0,0.0,C1041053446,3686360.28,3821416.0
