step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
425,TRANSFER,34839.32,C1183463100,34839.32,0.0,C796115130,0.0,0.0
425,CASH_OUT,34839.32,C946520806,34839.32,0.0,C2098801032,0.0,34839.32
425,TRANSFER,462452.87,C2093534108,462452.87,0.0,C1787957566,0.0,0.0
425,CASH_OUT,462452.87,C1588251640,462452.87,0.0,C577926946,0.0,462452.87
425,TRANSFER,3401641.0,C1233267015,3401641.0,0.0,C1191003760,0.0,0.0
425,CASH_OUT,3401641.0,C655470435,3401641.0,0.0,C1211152705,2062298.62,5463939.63
425,TRANSFER,19421.77,C499057718,19421.77,0.0,C1899051151,0.0,0.0
425,CASH_OUT,19421.77,C356706674,19421.77,0.0,C1498886294,663000.64,682422.4
425,TRANSFER,486175.4,C1305617036,486175.4,0.0,C926547978,0.0,0.0
425,CASH_OUT,486175.4,C1737680610,486175.4,0.0,C1596545373,0.0,486175.4
425,TRANSFER,1.0E7,C40489106,5.958504037E7,4.958504037E7,C650095152,0.0,0.0
425,CASH_OUT,1.0E7,C14856404,1.0E7,0.0,C308220962,1.066259915E7,2.066259915E7
425,TRANSFER,1.0E7,C1551381510,4.958504037E7,3.958504037E7,C1042012237,0.0,0.0
425,CASH_OUT,1.0E7,C749563037,1.0E7,0.0,C606914329,0.0,1.0E7
425,TRANSFER,1.0E7,C1619838170,3.958504037E7,2.958504037E7,C1934167334,0.0,0.0
425,CASH_OUT,1.0E7,C1979558927,1.0E7,0.0,C678340768,1727027.89,1.172702789E7
425,TRANSFER,1.0E7,C1756917426,2.958504037E7,1.958504037E7,C1192036077,0.0,0.0
425,CASH_OUT,1.0E7,C792080060,1.0E7,0.0,C2030266969,0.0,1.0E7
425,TRANSFER,1.0E7,C689608084,1.958504037E7,1.958504037E7,C1392803603,0.0,0.0
425,CASH_OUT,0.0,C832555372,0.0,0.0,C1462759334,76759.9,76759.9
425,TRANSFER,9585040.37,C452586515,1.958504037E7,1.958504037E7,C1109166882,0.0,0.0
425,CASH_OUT,0.0,C69493310,0.0,0.0,C719711728,2921531.34,2921531.34
425,TRANSFER,460434.46,C2045767963,460434.46,0.0,C1868484572,0.0,0.0
425,CASH_OUT,460434.46,C913609699,460434.46,0.0,C1256545087,1046172.48,1506606.94
425,TRANSFER,287720.41,C1664641098,287720.41,0.0,C1630931168,0.0,0.0
425,CASH_OUT,287720.41,C1152041857,287720.41,0.0,C1551847216,174700.67,462421.08
425,TRANSFER,204030.2,C1112249638,204030.2,0.0,C1562672245,0.0,0.0
425,CASH_OUT,204030.2,C1353907463,204030.2,0.0,C79931133,0.0,204030.2
