step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
235,TRANSFER,124880.32,C645435722,49507.0,0.0,C458535644,540373.43,665253.76
235,CASH_OUT,185728.21,C671483675,37664.0,0.0,C1514798768,73288.97,259017.18
235,PAYMENT,6455.69,C1158471178,200.0,0.0,M144238579,0.0,0.0
235,CASH_IN,74815.09,C1787352427,36.0,74851.09,C289402522,0.0,0.0
235,PAYMENT,709.6,C1924016638,74851.09,74141.48,M1374766383,0.0,0.0
235,PAYMENT,3177.82,C513382301,74141.48,70963.67,M840313512,0.0,0.0
235,CASH_OUT,172510.23,C829691085,11388.0,0.0,C1709983717,525293.41,697803.65
235,CASH_OUT,430375.26,C1786243057,5512.0,0.0,C4179951,2.886090036E7,2.929127563E7
235,PAYMENT,14651.24,C939569245,54012.0,39360.76,M1002479263,0.0,0.0
235,CASH_OUT,199183.66,C704849750,4570.0,0.0,C1463753062,1964778.78,2163962.44
235,CASH_IN,80904.54,C2141066632,0.0,80904.54,C763485780,1421934.02,1341029.48
235,CASH_IN,88124.46,C1109508222,80904.54,169028.99,C1733952333,167320.34,79195.88
235,CASH_IN,270614.1,C2108332739,169028.99,439643.09,C1308946844,2424707.16,2154093.06
235,CASH_IN,78790.13,C1310731191,439643.09,518433.22,C1994147479,1321500.52,1242710.39
235,CASH_IN,200306.22,C1100826030,518433.22,718739.45,C420987522,1542911.88,1342605.65
235,CASH_IN,334592.55,C234049491,718739.45,1053331.99,C2037994906,547957.54,213364.99
235,CASH_IN,34511.4,C606511148,1053331.99,1087843.39,C1676644278,405258.0,370746.6
235,CASH_IN,166361.67,C1796491916,1087843.39,1254205.06,C1116456822,2218775.95,2052414.28
235,CASH_IN,77528.68,C1083163253,1254205.06,1331733.74,C1119636351,2886680.03,2809151.35
235,CASH_IN,533682.29,C1461031008,1331733.74,1865416.03,C731130502,1671471.44,1137789.15
235,CASH_IN,285544.89,C1176730990,1865416.03,2150960.93,C844469689,8159241.92,7873697.03
235,CASH_IN,248384.72,C262807308,2150960.93,2399345.65,C780749718,250176.3,1791.58
235,CASH_IN,273430.68,C822671590,2399345.65,2672776.33,C1459644658,391653.22,118222.54
235,CASH_IN,398216.32,C1248192567,2672776.33,3070992.65,C120518590,2803078.97,2623975.27
235,CASH_IN,186622.18,C401613848,3070992.65,3257614.83,C1904448931,753314.97,566692.79
235,CASH_IN,108428.4,C1216154517,3257614.83,3366043.23,C746111033,286892.78,178464.38
235,CASH_IN,83497.63,C1044649396,3366043.23,3449540.86,C2035352829,417986.38,334488.75
235,CASH_IN,186789.21,C1527080475,3449540.86,3636330.06,C993660163,238351.84,51562.63
235,TRANSFER,758454.37,C1296259463,32350.0,0.0,C400867211,0.0,758454.37
235,CASH_IN,184214.17,C1833091609,9925.0,194139.17,C1750013383,81539.18,0.0
235,CASH_OUT,257563.18,C1941275568,733381.0,475817.82,C378465989,907841.32,1165404.5
235,CASH_OUT,156323.22,C66066019,231.0,0.0,C656038951,0.0,156323.22
235,CASH_OUT,612310.87,C1420355835,0.0,0.0,C1733919167,1083601.89,1416905.1
235,CASH_OUT,116130.51,C788642429,81429.0,0.0,C1410916794,58589.51,174720.02
235,CASH_OUT,76960.17,C1895171118,7698.0,0.0,C1507559991,577299.94,538794.73
235,PAYMENT,11451.49,C1941329757,152423.0,140971.51,M1615501024,0.0,0.0
235,TRANSFER,177424.65,C1111100102,140971.51,0.0,C1719022215,9438786.58,9616211.23
235,CASH_IN,176127.98,C44933595,114.0,176241.98,C59995638,158478.62,0.0
235,CASH_IN,392723.27,C1138758252,41675.0,434398.27,C1497410029,2079879.28,1687156.01
235,PAYMENT,9527.85,C2007593318,434398.27,424870.42,M1700215151,0.0,0.0
235,CASH_OUT,150922.73,C177991527,24817.0,0.0,C1999170432,230095.11,381017.84
235,PAYMENT,9928.88,C1236004650,7.0,0.0,M1966441784,0.0,0.0
235,CASH_IN,122764.64,C695551664,160715.0,283479.64,C436379569,516349.62,393584.98
235,CASH_OUT,11974.29,C2084598830,283479.64,271505.35,C1779961205,148525.26,160499.55
235,CASH_OUT,147043.84,C1787037235,24217.0,0.0,C620767585,0.0,147043.84
235,CASH_IN,183393.44,C868303390,36537.0,219930.44,C424221394,0.0,0.0
235,PAYMENT,4072.17,C805491216,141.0,0.0,M1327247674,0.0,0.0
235,PAYMENT,984.25,C90375028,0.0,0.0,M1007378548,0.0,0.0
235,CASH_OUT,25357.8,C448772023,149469.0,124111.2,C385051898,0.0,25357.8
235,PAYMENT,7291.87,C872730683,19955.0,12663.13,M694230380,0.0,0.0
235,PAYMENT,7222.63,C1317978356,295.0,0.0,M703317149,0.0,0.0
235,CASH_OUT,104872.39,C1006390419,422367.0,317494.61,C1738693407,136511.49,241383.88
235,PAYMENT,5207.03,C450342141,530.0,0.0,M577127987,0.0,0.0
235,CASH_OUT,263147.32,C1440653774,192844.0,0.0,C1645704273,207818.02,739664.94
235,CASH_OUT,229085.54,C203417394,70731.0,0.0,C1083558886,91989.02,321074.56
235,CASH_OUT,167808.23,C721949192,2090.0,0.0,C1594118227,0.0,167808.23
235,CASH_OUT,181538.43,C995069572,206661.0,25122.57,C1124052045,2027103.56,2208641.99
235,PAYMENT,13665.15,C457152754,14488.0,822.85,M1760217808,0.0,0.0
235,PAYMENT,19355.09,C60366231,33174.0,13818.91,M1147504846,0.0,0.0
235,CASH_OUT,111829.14,C595222712,1185.0,0.0,C1511269588,68787.47,180616.61
