step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
95,PAYMENT,17872.53,C725591152,2423.0,0.0,M904192790,0.0,0.0
95,CASH_OUT,1151.98,C365241428,19399.0,18247.02,C639725483,55232.41,56384.39
95,CASH_OUT,17965.93,C1499130593,31473.0,13507.07,C652123310,0.0,17965.93
95,PAYMENT,17515.71,C252762526,31456.0,13940.29,M494827321,0.0,0.0
95,PAYMENT,14231.57,C556074822,21332.0,7100.43,M799468641,0.0,0.0
95,PAYMENT,9970.32,C653462562,7100.43,0.0,M1213886586,0.0,0.0
95,CASH_OUT,267794.72,C1095520512,20442.0,0.0,C565755046,26307.94,294102.66
95,PAYMENT,8339.98,C1494317228,7004.0,0.0,M1732111792,0.0,0.0
95,PAYMENT,6892.41,C2088736909,228.0,0.0,M1603801683,0.0,0.0
95,PAYMENT,5440.76,C220120340,41098.0,35657.24,M96921962,0.0,0.0
95,PAYMENT,3852.43,C92119727,5537.0,1684.57,M443032281,0.0,0.0
95,PAYMENT,560.22,C1629844197,34857.0,34296.78,M1402620434,0.0,0.0
95,PAYMENT,17303.41,C991621652,80528.0,63224.59,M1614770500,0.0,0.0
95,TRANSFER,344236.11,C717719036,565.0,0.0,C1376298229,24365.77,368601.88
95,CASH_OUT,361342.38,C730628204,0.0,0.0,C2145214628,4032540.92,4393883.3
95,CASH_OUT,384855.38,C1198153051,0.0,0.0,C1820811459,1013287.71,1398143.09
95,CASH_OUT,251389.85,C1556394403,0.0,0.0,C1754489635,1217758.9,1469148.75
95,CASH_OUT,382909.06,C1253717922,0.0,0.0,C1927290933,455135.26,838044.31
95,PAYMENT,7210.27,C91898233,33275.0,26064.73,M284120072,0.0,0.0
95,PAYMENT,1254.92,C1776264735,26064.73,24809.81,M1925421985,0.0,0.0
95,CASH_IN,1200.43,C635796745,88919.0,90119.43,C54907520,530940.0,529739.57
95,PAYMENT,3566.59,C1329607337,7991.0,4424.41,M1539017216,0.0,0.0
95,PAYMENT,21554.41,C894110789,993.0,0.0,M1002971856,0.0,0.0
95,PAYMENT,45281.1,C1968409210,0.0,0.0,M1916790106,0.0,0.0
95,PAYMENT,56260.28,C536606332,0.0,0.0,M1700760049,0.0,0.0
95,PAYMENT,12369.55,C213311354,30745.0,18375.45,M28241539,0.0,0.0
95,PAYMENT,15001.32,C1093050588,22914.0,7912.68,M1487911176,0.0,0.0
95,CASH_OUT,253194.56,C1658380392,351836.0,98641.44,C724824075,1005040.04,1258234.61
95,CASH_IN,89543.55,C351588422,1283.0,90826.55,C2014990966,0.0,0.0
95,PAYMENT,17022.78,C1621144132,27485.0,10462.22,M1164058785,0.0,0.0
95,CASH_OUT,381076.35,C1620853701,10462.22,0.0,C18912237,861798.28,1242874.63
95,PAYMENT,9055.91,C1381550448,4516.0,0.0,M923755501,0.0,0.0
95,PAYMENT,11449.49,C1673276037,0.0,0.0,M1631379292,0.0,0.0
95,PAYMENT,827.29,C1975228738,286694.0,285866.71,M971475987,0.0,0.0
95,PAYMENT,5052.99,C990732712,44428.0,39375.01,M1020043178,0.0,0.0
95,PAYMENT,2266.77,C353657080,171.0,0.0,M278323549,0.0,0.0
95,PAYMENT,5119.5,C1086771910,124195.0,119075.5,M414135483,0.0,0.0
95,CASH_IN,83901.48,C780834038,27775.0,111676.48,C757414275,4215548.41,4131646.93
95,PAYMENT,9025.25,C154211443,83824.0,74798.75,M2140649329,0.0,0.0
95,PAYMENT,13308.27,C511467220,10996.0,0.0,M1688945865,0.0,0.0
95,CASH_OUT,146501.9,C1698191011,0.0,0.0,C1487207727,337081.35,483583.25
95,PAYMENT,4562.01,C668354890,15179.0,10616.99,M1528834458,0.0,0.0
95,PAYMENT,10409.51,C1704178491,10616.99,207.48,M1119448164,0.0,0.0
95,PAYMENT,3894.61,C1462821216,207.48,0.0,M226918117,0.0,0.0
95,PAYMENT,24700.65,C1978928645,0.0,0.0,M2091353747,0.0,0.0
95,PAYMENT,33077.49,C743199622,0.0,0.0,M310600124,0.0,0.0
95,PAYMENT,32496.58,C1196605903,0.0,0.0,M125912232,0.0,0.0
95,PAYMENT,51823.99,C1235220413,0.0,0.0,M1075372467,0.0,0.0
95,PAYMENT,24867.11,C294984902,0.0,0.0,M473742936,0.0,0.0
95,DEBIT,3266.1,C707297405,81002.0,77735.9,C1749743145,20524.09,23790.19
95,CASH_OUT,164420.73,C758835698,112511.0,0.0,C51626955,4641811.63,4806232.36
95,PAYMENT,323.23,C351318975,17081.0,16757.77,M1841762567,0.0,0.0
95,PAYMENT,12480.21,C58875818,21548.0,9067.79,M2030916433,0.0,0.0
95,PAYMENT,910.16,C1752263300,22296.0,21385.84,M1030427044,0.0,0.0
95,CASH_OUT,260069.48,C738555564,21385.84,0.0,C1674878670,714401.03,974470.52
95,CASH_OUT,29360.37,C1057042342,0.0,0.0,C810523621,625495.67,654856.04
95,CASH_OUT,3814.42,C1548175240,0.0,0.0,C759272566,183017.55,186831.98
95,CASH_OUT,273792.38,C960797589,0.0,0.0,C1037746358,7304283.34,7578075.71
95,CASH_OUT,426851.43,C1047734791,0.0,0.0,C784456736,1295785.31,1722636.74
95,CASH_OUT,116258.55,C137973360,0.0,0.0,C1911355802,1180135.87,1296394.42
95,CASH_OUT,26533.36,C1847866360,0.0,0.0,C816392156,189704.17,216237.53
95,CASH_OUT,360722.05,C1931580826,0.0,0.0,C1304776965,6830029.45,7190751.5
95,CASH_OUT,458666.85,C1420147435,0.0,0.0,C1483096389,657866.15,1116533.0
95,CASH_OUT,219380.74,C372061377,0.0,0.0,C1498908856,3114608.97,3333989.71
95,CASH_OUT,104283.86,C1507421711,0.0,0.0,C320750316,3195633.51,3299917.36
95,CASH_OUT,85027.75,C648789483,0.0,0.0,C1455843718,1205527.95,1290555.7
95,CASH_OUT,227368.83,C1604331831,0.0,0.0,C1135974716,377220.34,604589.17
95,CASH_OUT,58499.49,C550802750,0.0,0.0,C367461517,151434.83,209934.33
95,CASH_OUT,7030.73,C846151229,0.0,0.0,C702398649,45940.9,52971.63
95,CASH_OUT,170033.82,C1230014846,0.0,0.0,C461145537,1219074.31,1389108.13
95,CASH_OUT,239477.69,C401074418,0.0,0.0,C2046907613,426512.21,665989.89
95,CASH_OUT,174580.84,C329179733,0.0,0.0,C1685758132,195399.44,369980.27
95,CASH_OUT,175409.72,C1489746125,0.0,0.0,C1412164146,232237.78,407647.5
95,CASH_OUT,424363.33,C362664403,0.0,0.0,C1667890031,479756.55,904119.88
95,CASH_OUT,432548.15,C1033178090,0.0,0.0,C616212742,1105616.85,1538164.99
95,CASH_OUT,445204.67,C1501420103,0.0,0.0,C839218732,4887718.76,5332923.43
95,CASH_OUT,363460.3,C1551178869,0.0,0.0,C723357641,823382.19,1186842.5
95,CASH_OUT,262842.63,C664624481,0.0,0.0,C1412067131,448392.41,711235.04
95,CASH_OUT,215048.74,C843237411,0.0,0.0,C1109807309,367658.55,582707.29
95,CASH_OUT,49016.62,C98206670,0.0,0.0,C612020797,1495966.96,1544983.58
95,CASH_OUT,315949.44,C1899536820,0.0,0.0,C115141847,2434346.83,2750296.27
95,CASH_OUT,317673.16,C1015254183,0.0,0.0,C2129007823,3428825.85,3746499.01
95,CASH_OUT,34834.36,C413419716,0.0,0.0,C933777183,348544.18,383378.54
95,CASH_OUT,141850.67,C1236364525,0.0,0.0,C704021390,1074173.26,1216023.94
95,CASH_OUT,107771.07,C2100318574,0.0,0.0,C1321978935,732820.95,840592.02
95,CASH_OUT,134212.89,C1568021723,0.0,0.0,C927738114,540538.28,674751.17
95,CASH_OUT,33081.41,C1731108313,0.0,0.0,C1538626836,142610.36,175691.77
95,CASH_OUT,312303.28,C624579541,0.0,0.0,C1066897794,591557.46,903860.74
95,CASH_OUT,11688.15,C1526648125,0.0,0.0,C1441370154,35620.61,47308.76
95,CASH_OUT,545974.35,C931369597,0.0,0.0,C73690456,7108914.22,7654888.57
95,CASH_OUT,109112.84,C617615617,0.0,0.0,C1724405088,1458741.86,1567854.7
95,CASH_OUT,37530.66,C1401113269,0.0,0.0,C1732947018,40629.63,78160.28
95,CASH_OUT,214231.29,C2142823133,0.0,0.0,C1745301015,1485118.77,1699350.06
95,CASH_OUT,144953.51,C1409517357,0.0,0.0,C668346872,445850.67,590804.18
