step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
523,TRANSFER,7603589.38,C1672263305,7603589.38,0.0,C1495920841,0.0,0.0
523,CASH_OUT,7603589.38,C1668909596,7603589.38,0.0,C1668215397,299845.14,7903434.51
523,TRANSFER,160186.79,C946605831,160186.79,0.0,C417515200,0.0,0.0
523,CASH_OUT,160186.79,C2096987876,160186.79,0.0,C641152271,2428183.45,2588370.25
523,TRANSFER,951451.17,C2053342988,951451.17,0.0,C1967338222,0.0,0.0
523,CASH_OUT,951451.17,C1441123126,951451.17,0.0,C667076483,1430666.86,2382118.03
523,TRANSFER,2135320.18,C220852922,2135320.18,0.0,C1681916503,0.0,0.0
523,CASH_OUT,2135320.18,C439658405,2135320.18,0.0,C1436830952,333330.67,2468650.85
523,TRANSFER,121543.83,C2080970760,121543.83,0.0,C723423255,0.0,0.0
523,CASH_OUT,121543.83,C122605764,121543.83,0.0,C1571077374,64845.34,186389.17
523,TRANSFER,120598.96,C1169186485,120598.96,0.0,C933941946,0.0,0.0
523,CASH_OUT,120598.96,C2047262761,120598.96,0.0,C997122049,1284199.46,1404798.42
523,TRANSFER,921894.19,C1325096505,921894.19,0.0,C427393645,0.0,0.0
523,CASH_OUT,921894.19,C1069707218,921894.19,0.0,C1691436572,523285.83,1445180.02
523,TRANSFER,497928.97,C2025900905,497928.97,0.0,C860186566,0.0,0.0
523,CASH_OUT,497928.97,C881548240,497928.97,0.0,C1750630273,4112129.55,4610058.51
523,TRANSFER,4623764.68,C538300910,4623764.68,0.0,C158509882,0.0,0.0
523,CASH_OUT,4623764.68,C201692865,4623764.68,0.0,C1546968291,0.0,4623764.68
523,TRANSFER,159094.64,C1918934955,159094.64,0.0,C2113597324,0.0,0.0
523,CASH_OUT,159094.64,C484122604,159094.64,0.0,C286444496,0.0,159094.64
523,TRANSFER,248799.49,C315569976,248799.49,0.0,C1189969071,0.0,0.0
523,CASH_OUT,248799.49,C853284926,248799.49,0.0,C1409000148,323143.23,571942.72
523,TRANSFER,1200702.71,C1144476681,1200702.71,0.0,C899185516,0.0,0.0
523,CASH_OUT,1200702.71,C5707548,1200702.71,0.0,C554572940,370244.35,1570947.06
523,TRANSFER,1.0E7,C1800046297,1.599937679E7,5999376.79,C125702772,0.0,0.0
523,CASH_OUT,1.0E7,C956657254,1.0E7,0.0,C383956352,198226.59,1.019822659E7
523,TRANSFER,5999376.79,C1206710867,5999376.79,0.0,C2020321619,0.0,0.0
523,CASH_OUT,5999376.79,C2134635077,5999376.79,0.0,C1893331060,197460.17,6196836.96
523,TRANSFER,25819.42,C1090051893,25819.42,0.0,C1403321467,0.0,0.0
523,CASH_OUT,25819.42,C1377632018,25819.42,0.0,C20127425,0.0,25819.42
